Lake,Date,Lattitude,Longitude,AreaSqK
Greenpepper Lake,6/14/14,66.095279,-146.731136,0.967
Lake 1-46-2,6/14/15,66.195409,-146.790458,0.288
Lake 1-46-3,6/14/15,66.204813,-146.774584,0.155
YF04,6/14/15,66.501153,-146.186808,0.268
YF03,6/14/15,66.65232,-145.691556,0.68
Ninemile Lake,6/17/14,66.185801,-146.660943,3.331
Canvasback Lake,6/17/15,66.384025,-146.358557,2.832
YF20,6/17/15,66.637751,-145.774929,0.593
Twelvemile Lake,6/17/15,66.44966,-145.54564,3.413
Boot Lake,6/17/15,66.07318,-146.27048,0.734
Scoter Lake,6/17/15,66.235088,-146.411736,4.555
YF08,6/18/15,66.703426,-145.558603,1.627
YF02,6/18/15,66.538895,-145.866087,1.164
YF17,6/18/15,66.320636,-146.267024,1.746
YF14,6/18/15,66.227703,-146.948035,1.292
Abraham Lake,6/18/15,66.188766,-146.719589,0.781