system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
1-Jun-16,0.024,0.041,0.041,,0.06,0.049,0.045,0.092,0.033,0.037,0.034,0.083,0.029,0.036,,0.04,0.077,0.024,0.047,0.089,0.069,0.068,0.064,0.063
1-Jun-16,0.024,0.041,0.041,0.068,0.06,,,0.093,,,,,0.029,0.036,0.052,,,0.024,0.046,,,0.068,0.064,
3-Jun-16,,,,,,,-0.041,,-0.051,-0.044,,-0.046,,,,-0.046,-0.042,,,0.002,-0.043,,,-0.051
3-Jun-16,,-0.04,-0.042,,-0.04,-0.05,-0.04,-0.043,,,-0.035,,,-0.048,0.105,-0.046,,,-0.044,0.001,-0.043,,,-0.051
4-Jun-16,,,,,,-0.005,0,,,,,,,,,,,,,,,-0.004,-0.014,-0.007
8-Jun-16,-0.056,,,0.138,,,,,,,,,-0.041,,,,,-0.044,,,,-0.04,-0.034,
8-Jun-16,,,,0.138,,,,,,,,,,,,,,,,,,,,
10-Jun-16,,,,,,-0.049,-0.042,-0.042,-0.055,-0.049,-0.068,-0.044,,,,-0.064,-0.041,,-0.041,0.008,-0.042,,,-0.05
10-Jun-16,-0.053,-0.039,-0.015,-0.033,-0.025,-0.049,,-0.042,,,-0.068,,-0.033,-0.053,0.001,,,-0.046,-0.041,,,-0.037,-0.035,
11-Jun-16,,,,-0.011,,,,,,,,,,,,,,,,,,0.006,0.025,
13-Jun-16,0.036,0.041,0.029,0.061,,0.045,-0.009,0.026,0.024,0.058,0.041,0.039,0.036,0.044,,0.003,0.043,0.037,0.042,0.012,0.019,0.009,0.009,0.046
15-Jun-16,,,,,,,,,-0.019,-0.019,,-0.017,,,,-0.021,-0.018,,,-0.013,-0.017,,,
17-Jun-16,-0.024,-0.022,-0.021,,-0.035,-0.043,-0.035,-0.035,-0.051,-0.044,-0.067,-0.044,-0.022,-0.043,,-0.065,-0.039,-0.024,-0.043,0.03,-0.039,-0.002,0.003,-0.051
17-Jun-16,-0.024,-0.022,-0.021,0.02,-0.035,,,-0.036,,,,,-0.022,-0.043,-0.021,,,-0.024,-0.043,,,-0.002,0.003,
19-Jun-16,,,,,,,0.024,,0.026,0.036,,0.031,,,,0.026,0.029,,,0.023,0.02,,,0.021
22-Jun-16,-0.012,-0.018,-0.018,,-0.01,0.042,0.005,-0.017,-0.019,-0.015,-0.013,0.056,-0.003,-0.019,0.016,-0.032,-0.014,0.006,-0.016,0.002,0.039,,,-0.015
24-Jun-16,-0.05,,,-0.03,,,,,,,,,-0.038,,,,,-0.051,,,,-0.036,-0.034,
24-Jun-16,,,,-0.03,,,,,,,,,,,,,,,,,,,,
26-Jun-16,,,,,,-0.042,-0.036,-0.044,-0.057,-0.042,-0.046,-0.048,,,,-0.074,-0.042,,-0.058,0.05,-0.042,,,-0.054
26-Jun-16,0.049,0.052,0.025,-0.04,0.024,-0.042,,-0.044,,,-0.046,,0.057,0.049,0.033,,,0.059,-0.058,,,-0.036,-0.034,
27-Jun-16,,,,0.076,,,,,,,,,,,,,,,,,,0.048,-0.008,
29-Jun-16,-0.016,-0.016,-0.016,-0.015,-0.016,-0.015,,-0.016,,,-0.015,,-0.015,-0.018,-0.015,,,-0.017,-0.017,-0.015,-0.016,-0.016,,
29-Jun-16,-0.016,-0.016,-0.017,-0.015,,-0.015,-0.015,-0.017,-0.018,-0.016,-0.015,-0.017,-0.016,-0.017,,-0.018,-0.017,-0.017,-0.017,-0.015,-0.016,-0.016,-0.018,-0.018
1-Jul-16,,,,,,,,,0.062,0.066,,0.068,,,,0.069,0.065,,,0.035,0.03,,,
3-Jul-16,0.051,0.085,0.05,,0.078,-0.007,0.145,0.04,-0.02,0.113,0.011,0.072,0.102,0.024,,0.042,0.038,0.08,0.075,0.065,0.088,0.078,0.117,0.062
3-Jul-16,0.051,0.085,0.05,0.135,0.078,,,0.04,,,,,0.102,0.024,0.069,,,0.081,0.075,,,0.078,0.117,
5-Jul-16,,,,,,,0.004,,-0.052,-0.036,,-0.046,,,,-0.054,-0.039,,,-0.007,-0.038,,,-0.065
5-Jul-16,,0.031,0.091,,0.036,-0.012,-0.008,0.012,,,0.019,,,0.022,-0.031,-0.054,,,0.008,-0.004,-0.038,,,-0.065
6-Jul-16,,,,,,0.018,0.008,,,,,,,,,,,,,,,-0.015,0.042,0.037
8-Jul-16,0.003,-0.015,-0.017,,-0.007,0.017,0.048,-0.011,0.059,0.016,0.016,0.058,0.004,-0.013,-0.015,0.049,0.059,-0.011,-0.007,0.012,0.022,,,0.03
10-Jul-16,0.118,,,0.175,,,,,,,,,-0.035,,,,,-0.043,,,,0.043,0.149,
10-Jul-16,,,,0.175,,,,,,,,,,,,,,,,,,,,
12-Jul-16,,,,,,-0.038,-0.025,-0.039,-0.058,-0.041,0.009,-0.049,,,,-0.086,-0.04,,-0.056,0.094,-0.045,,,-0.058
12-Jul-16,-0.05,-0.036,-0.041,-0.03,-0.033,-0.038,,-0.039,,,0.009,,-0.039,-0.059,-0.027,,,-0.047,-0.056,,,-0.039,-0.033,
15-Jul-16,-0.003,-0.002,-0.011,-0.012,,0.002,0.016,-0.01,0.023,0.007,0.001,0.017,-0.004,0,,0.009,0.008,-0.005,-0.013,0.006,-0.004,0.001,-0.007,0.007
19-Jul-16,-0.043,0.105,0.119,,-0.044,-0.041,-0.027,0.057,0.137,-0.04,0.016,-0.065,-0.039,0.086,,-0.065,0.034,-0.046,-0.027,0.123,-0.056,0.041,0.144,0.09
19-Jul-16,-0.043,0.104,0.118,-0.039,-0.044,,,0.056,,,,,-0.039,0.086,-0.041,,,-0.046,-0.026,,,0.038,0.145,
21-Jul-16,,,,,,,0.065,,0.102,0.058,,0.108,,,,0.095,0.104,,,0.019,0.036,,,0.074
21-Jul-16,,0.039,0.032,,0.064,0.129,0.065,0.077,,,0.086,,,0.045,0.046,0.095,,,0.091,0.019,0.036,,,0.073
26-Jul-16,0.093,,,-0.033,,,,,,,,,0.069,,,,,0.078,,,,0.091,-0.031,
26-Jul-16,,,,-0.033,,,,,,,,,,,,,,,,,,,,
28-Jul-16,,,,,,0.123,0.137,0.081,0.12,-0.037,0.084,-0.027,,,,0.084,-0.023,,0.08,0.053,0.073,,,-0.02
28-Jul-16,-0.027,0.105,0.1,0.068,0.061,0.123,,0.081,,,0.084,,0.033,0.085,0.028,,,0.103,0.08,,,0.152,-0.039,
4-Aug-16,0.035,0.03,0.035,0.056,0.032,,,0.037,,,,,0.032,0.035,0.015,,,0.033,0.043,,,0.037,0.053,
6-Aug-16,,,,,,,0.137,,-0.051,-0.042,,-0.013,,,,-0.052,-0.052,,,0.112,-0.054,,,-0.06
6-Aug-16,,0.079,0.062,,0.075,0.102,0.136,0.067,,,0.044,,,0.067,0.106,-0.052,,,0.084,0.123,-0.054,,,-0.06
11-Aug-16,0.042,,,0.07,,,,,,,,,0.047,,,,,0.039,,,,0.033,0.109,
11-Aug-16,,,,0.07,,,,,,,,,,,,,,,,,,,,
13-Aug-16,,,,,,0.016,0.045,0.096,0.001,0.032,0.136,0.168,,,,0.093,-0.049,,-0.022,0.097,-0.036,,,0.08
13-Aug-16,-0.046,-0.037,-0.041,0.154,0.148,0.016,,0.096,,,0.136,,-0.044,-0.054,-0.019,,,-0.043,-0.022,,,-0.032,0.129,
20-Aug-16,0.029,0.024,0.021,,0.023,0.02,0.018,0.019,0.024,0.03,0.018,0.031,0.03,0.019,,0.026,0.028,0.039,0.02,0.018,0.017,0.056,0.061,0.017
22-Aug-16,,0.069,0.061,,0.036,-0.042,0.07,0.037,,,0.063,,,0.06,0.063,0.039,,,0.037,0.049,0.042,,,0.029
27-Aug-16,-0.04,,,-0.033,,,,,,,,,-0.041,,,,,-0.035,,,,-0.034,0.032,
27-Aug-16,,,,-0.033,,,,,,,,,,,,,,,,,,,,
29-Aug-16,,,,,,0.009,0.037,-0.032,0.036,-0.018,0.028,0.025,,,,0.051,0.024,,-0.037,0.093,-0.021,,,0.003
29-Aug-16,-0.046,-0.036,-0.028,-0.001,0.001,0.009,,-0.032,,,0.028,,-0.045,-0.045,-0.033,,,-0.036,-0.037,,,0.003,-0.03,
5-Sep-16,-0.014,0.055,0.044,,0.054,-0.041,-0.03,0.024,-0.044,-0.039,0.063,-0.039,-0.005,0.013,,-0.047,-0.038,-0.037,0.031,0.077,-0.043,-0.034,-0.035,-0.058
5-Sep-16,-0.014,0.055,0.044,0.063,0.054,,,0.024,,,,,-0.006,0.013,0.051,,,-0.037,0.031,,,-0.034,-0.035,
7-Sep-16,,,,,,,-0.018,,-0.042,-0.042,,-0.039,,,,-0.069,-0.038,,,0.069,-0.027,,,-0.05
7-Sep-16,,-0.036,-0.04,,-0.035,-0.035,-0.018,-0.042,,,0.117,,,-0.047,-0.034,-0.07,,,-0.043,0.07,-0.027,,,-0.05
14-Sep-16,0.03,0.03,0.03,0.039,0.037,0.036,,0.031,,,0.034,,0.035,0.031,0.038,,,0.033,0.033,,,0.038,0.04,
21-Sep-16,0.07,-0.028,0.031,,0.07,0.044,-0.028,0.067,0.022,0.066,0.052,0.034,-0.021,0.07,,0.037,-0.011,0.059,-0.001,0.04,-0.032,-0.026,0.027,0.005
21-Sep-16,0.071,-0.028,0.031,-0.032,0.07,,,0.066,,,,,-0.021,0.07,-0.02,,,0.058,-0.001,,,-0.026,0.027,
23-Sep-16,,,,,,,0.026,,0.022,0.026,,0.015,,,,0.025,0.023,,,0.046,0.042,,,0.027
23-Sep-16,,0.036,0.041,,0.031,0.021,0.026,0.029,,,0.021,,,0.029,0.016,0.025,,,0.029,0.046,0.042,,,0.027